"","Part_num","MatchID_clean","Follow_clean","IRLikedPartner","IRSayYes","IRSexAttract","IRThinkCareer","IRThinkAmbitious","IRThinkPhys","IRThinkHot","IRThinkFun","IRThinkResponsive","IRThinkDependable","IRThinkFriendly","IRCommon","IRPersonality","IRConnection","yessing","mutmatch","PMexcited","PMSelfinit","PMMatchinit","FUEager","FUInitiate","FUEnjoy","FUSexDesire","FUSoulMate","FURomInterest","FUOnlyWith","FUMind","FUOneNight","FUCasual","FUSerious","FUCommitted","FUExtentPhys","FUExtentCareer","FUExtentAmbitious","FUExtentHot","FUExtentFun","FUExtentRespons","FUExtentFriendly","DemAge","DemEthn","FUPhysContact","FUInitiatePhys","FUEnjoyContact","FUContactBad","IRpatt","IRepro","IRpers","IRrdes","IRchem","FUpasn","FUpatt","FUepro","FUpers","FUStatus","sex_M1_F2"
"1",1,116,1,9,9,9,7,7,9,9,9,9,7,7,8,8,9,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,8,9,8.33333333333333,NA,NA,NA,NA,NA,-0.5
"2",1,116,2,7,8,7,6,7,9,9,7,7,4,5,8,9,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6.5,5.75,7.33333333333333,8.33333333333333,NA,NA,NA,NA,NA,-0.5
"3",1,116,3,7,8,7,6,7,9,9,7,7,4,5,8,9,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6.5,5.75,7.33333333333333,8.33333333333333,NA,NA,NA,NA,NA,-0.5
"4",1,116,4,7,8,7,6,7,9,9,7,7,4,5,8,9,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6.5,5.75,7.33333333333333,8.33333333333333,NA,NA,NA,NA,NA,-0.5
"5",1,116,5,7,8,7,6,7,9,9,7,7,4,5,8,9,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6.5,5.75,7.33333333333333,8.33333333333333,NA,NA,NA,NA,NA,-0.5
"6",1,116,6,7,8,7,6,7,9,9,7,7,4,5,8,9,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6.5,5.75,7.33333333333333,8.33333333333333,NA,NA,NA,NA,NA,-0.5
"7",1,116,7,7,8,7,6,7,9,9,7,7,4,5,8,9,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6.5,5.75,7.33333333333333,8.33333333333333,NA,NA,NA,NA,NA,-0.5
"8",1,116,8,7,8,7,6,7,9,9,7,7,4,5,8,9,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6.5,5.75,7.33333333333333,8.33333333333333,NA,NA,NA,NA,NA,-0.5
"9",1,116,9,7,8,7,6,7,9,9,7,7,4,5,8,9,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6.5,5.75,7.33333333333333,8.33333333333333,NA,NA,NA,NA,NA,-0.5
"10",1,116,10,7,8,7,6,7,9,9,7,7,4,5,8,9,8,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,6.5,5.75,7.33333333333333,8.33333333333333,NA,NA,NA,NA,NA,-0.5
