partner_id,n_raters,mean_received_rating,sd_received_rating
549,1,null,0.0
3832,1,null,0.0
1683,1,null,0.0
3361,1,9.0,0.0
6776,8,8.29,1.11
6460,7,8.0,1.15
7494,5,8.0,0.71
9188,11,8.0,0.77
2833,1,8.0,0.0
4511,1,8.0,0.0
4570,1,8.0,0.0
7940,1,8.0,0.0
8399,1,8.0,0.0
7263,1,8.0,0.0
2882,1,8.0,0.0
4957,1,8.0,0.0
6955,1,8.0,0.0
7749,1,8.0,0.0
378,7,7.86,1.46
1099,11,7.73,0.65
2294,7,7.71,0.76
3894,7,7.71,0.76
4346,7,7.71,0.76
4818,7,7.71,0.76
5541,7,7.71,0.76
6349,7,7.71,0.76
6469,7,7.71,0.76
7529,7,7.71,0.76
7881,7,7.71,0.76
8212,6,7.67,1.21
3305,8,7.63,0.92
3008,7,7.57,1.27
4854,7,7.57,1.4
7057,7,7.57,0.79
3560,11,7.55,1.21
8644,11,7.55,1.29
3088,8,7.5,1.07
6628,6,7.5,1.05
8584,7,7.43,0.79
2265,10,7.38,0.74
4562,8,7.38,1.19
4702,9,7.38,0.52
9150,8,7.38,1.41
5021,11,7.36,1.21
4783,7,7.33,0.82
9106,10,7.33,1.0
9945,7,7.33,1.03
971,7,7.29,1.25
1732,7,7.29,0.49
3932,7,7.29,1.5
5587,7,7.29,0.76
5699,8,7.29,1.6
4756,7,7.29,1.25
2446,9,7.25,1.28
745,10,7.2,1.03
3071,11,7.18,1.08
2128,7,7.17,1.17
3893,7,7.14,1.46
5325,7,7.14,1.07
6886,7,7.14,1.57
7970,7,7.14,1.07
4941,7,7.14,1.46
6953,8,7.13,1.36
7744,8,7.13,1.73
116,9,7.11,1.45
3412,9,7.11,1.17
7031,9,7.11,1.05
8344,9,7.11,1.05
1515,10,7.1,0.99
5366,10,7.1,0.99
5805,10,7.1,0.99
2334,11,7.09,1.22
173,8,7.0,1.6
339,9,7.0,1.12
1288,9,7.0,0.87
1966,7,7.0,1.87
2382,8,7.0,1.69
2406,10,7.0,0.94
2467,9,7.0,1.0
2743,7,7.0,1.29
3594,7,7.0,0.58
6368,7,7.0,1.53
6493,7,7.0,1.15
6775,8,7.0,1.41
7089,7,7.0,1.41
7142,8,7.0,1.51
7784,8,7.0,1.69
7086,1,7.0,0.0
4560,1,7.0,0.0
2932,1,7.0,0.0
188,1,7.0,0.0
6637,1,7.0,0.0
4992,6,7.0,0.89
31,1,7.0,0.0
7570,2,7.0,1.41
7499,1,7.0,0.0
3132,1,7.0,0.0
5521,1,7.0,0.0
3525,1,7.0,0.0
3687,1,7.0,0.0
