participant,partner,sex,initial_attraction,mutual_match,week,romantic_interest
22,3689,-0.5,4.0,0,1,6.0
22,3689,-0.5,4.0,0,3,5.0
22,3689,-0.5,4.0,0,4,3.0
116,6124,0.5,8.0,1,9,4.0
116,6124,0.5,8.0,1,10,4.0
235,2290,0.5,7.0,1,5,4.0
235,2290,0.5,7.0,1,6,5.0
235,2290,0.5,7.0,1,7,5.0
235,2290,0.5,7.0,1,8,5.0
235,2290,0.5,7.0,1,9,6.0
235,2290,0.5,7.0,1,10,5.0
339,8071,0.5,5.0,0,2,6.0
339,8071,0.5,5.0,0,3,3.0
339,8071,0.5,5.0,0,4,5.0
339,8071,0.5,5.0,0,5,4.0
339,8071,0.5,5.0,0,6,3.0
339,8071,0.5,5.0,0,7,3.0
339,8071,0.5,5.0,0,8,5.0
339,8071,0.5,5.0,0,9,3.0
339,8071,0.5,5.0,0,10,4.0
538,1570,0.5,7.0,1,1,4.0
538,1570,0.5,7.0,1,2,5.0
538,5512,0.5,7.0,1,1,4.0
538,5512,0.5,7.0,1,2,4.0
807,4287,-0.5,6.0,1,4,3.0
807,4287,-0.5,6.0,1,5,5.0
807,4287,-0.5,6.0,1,6,3.0
812,378,-0.5,8.0,0,1,3.0
812,378,-0.5,8.0,0,3,3.0
812,378,-0.5,8.0,0,4,3.0
812,378,-0.5,8.0,0,5,3.0
812,378,-0.5,8.0,0,6,3.0
812,378,-0.5,8.0,0,7,3.0
812,378,-0.5,8.0,0,8,3.0
812,378,-0.5,8.0,0,9,3.0
812,378,-0.5,8.0,0,10,3.0
894,8591,0.5,7.0,1,2,4.0
894,8591,0.5,7.0,1,3,3.0
894,8591,0.5,7.0,1,4,3.0
1083,482,-0.5,9.0,0,1,2.0
1083,482,-0.5,9.0,0,2,2.0
1083,482,-0.5,9.0,0,3,3.0
1083,482,-0.5,9.0,0,4,3.0
1083,482,-0.5,9.0,0,10,3.0
1083,2265,-0.5,8.0,1,1,2.0
1083,2265,-0.5,8.0,1,2,2.0
1083,2265,-0.5,8.0,1,3,3.0
1083,2265,-0.5,8.0,1,4,3.0
1083,2265,-0.5,8.0,1,10,3.0
1083,3932,-0.5,4.0,0,1,2.0
1083,3932,-0.5,4.0,0,2,2.0
1288,3350,-0.5,6.0,1,1,4.0
1288,6637,-0.5,7.0,1,1,2.0
1288,6637,-0.5,7.0,1,2,3.0
1288,6637,-0.5,7.0,1,3,3.0
1288,6637,-0.5,7.0,1,4,3.0
1288,6637,-0.5,7.0,1,7,4.0
1288,6637,-0.5,7.0,1,10,5.0
2290,235,-0.5,7.0,1,2,5.0
2290,235,-0.5,7.0,1,4,6.0
2290,235,-0.5,7.0,1,5,6.0
2290,235,-0.5,7.0,1,6,6.0
2290,235,-0.5,7.0,1,10,3.0
2883,1083,0.5,9.0,1,1,1.0
2883,1083,0.5,9.0,1,2,4.0
2897,5015,-0.5,7.0,1,1,3.0
3071,7725,-0.5,8.0,1,4,3.0
3071,7725,-0.5,8.0,1,5,3.0
3071,7725,-0.5,8.0,1,6,3.0
3088,8863,0.5,5.0,0,4,4.0
3088,8863,0.5,5.0,0,5,4.0
3088,8863,0.5,5.0,0,6,4.0
3088,8863,0.5,5.0,0,7,7.0
3608,6366,-0.5,8.0,1,1,2.0
3608,6366,-0.5,8.0,1,2,3.0
3608,6366,-0.5,8.0,1,3,3.0
3608,6366,-0.5,8.0,1,5,3.0
3608,6366,-0.5,8.0,1,6,3.0
3608,6366,-0.5,8.0,1,7,4.0
3608,6366,-0.5,8.0,1,8,4.0
3608,6366,-0.5,8.0,1,10,3.0
3671,6883,-0.5,7.0,1,2,4.0
3671,6883,-0.5,7.0,1,5,5.0
3671,6883,-0.5,7.0,1,9,4.0
3689,1717,0.5,8.0,1,2,2.0
4462,9798,-0.5,7.0,1,1,2.0
4462,9798,-0.5,7.0,1,2,3.0
4462,9798,-0.5,7.0,1,4,3.0
4462,9798,-0.5,7.0,1,7,4.0
4702,2477,0.5,8.0,1,1,4.0
5015,2897,0.5,6.0,1,7,4.0
5015,2897,0.5,6.0,1,9,3.0
5015,2897,0.5,6.0,1,10,3.0
5541,4346,0.5,8.0,0,1,7.0
5541,4346,0.5,8.0,0,2,7.0
6124,116,-0.5,9.0,1,4,3.0
6368,3088,-0.5,8.0,1,1,6.0
6368,3088,-0.5,8.0,1,2,2.0
6368,3088,-0.5,8.0,1,3,5.0
6368,3088,-0.5,8.0,1,4,5.0
6368,3088,-0.5,8.0,1,5,4.0
6368,3088,-0.5,8.0,1,6,5.0
6368,3088,-0.5,8.0,1,7,5.0
6368,3088,-0.5,8.0,1,8,6.0
6368,3088,-0.5,8.0,1,9,5.0
6368,3088,-0.5,8.0,1,10,5.0
6443,1,0.5,5.0,0,9,2.0
6469,8671,0.5,2.0,0,4,3.0
6469,8671,0.5,2.0,0,6,4.0
6469,8671,0.5,2.0,0,10,2.0
6636,8488,0.5,4.0,1,1,2.0
7494,682,0.5,9.0,0,9,6.0
7494,682,0.5,9.0,0,10,7.0
7666,2091,-0.5,8.0,1,1,6.0
7666,3071,-0.5,8.0,1,3,5.0
7666,3071,-0.5,8.0,1,4,5.0
7695,894,-0.5,9.0,1,2,4.0
7695,894,-0.5,9.0,1,3,3.0
7695,894,-0.5,9.0,1,5,4.0
7695,894,-0.5,9.0,1,6,3.0
7695,894,-0.5,9.0,1,9,3.0
7725,3071,0.5,8.0,1,3,5.0
7725,3071,0.5,8.0,1,5,5.0
7725,3071,0.5,8.0,1,6,6.0
7725,3071,0.5,8.0,1,7,3.0
7725,3071,0.5,8.0,1,8,3.0
7725,3071,0.5,8.0,1,9,4.0
8381,6454,0.5,5.0,0,2,4.0
8381,6454,0.5,5.0,0,3,5.0
8381,6454,0.5,5.0,0,4,3.0
8381,6454,0.5,5.0,0,5,7.0
8429,1515,0.5,8.0,1,2,6.0
8429,1515,0.5,8.0,1,3,6.0
8429,1515,0.5,8.0,1,4,6.0
8429,1515,0.5,8.0,1,5,7.0
8526,6366,-0.5,4.0,1,1,2.0
